RunDate,Close,RealizedVol20d,TargetVol,AllocTQQQ,AllocCash,TQQQ_Close,QQQ_Close,QQQ_MA50,QQQ_MA100,QQQ_MA200,QQQ_RSI,MACD_Bullish,MA200_Gate,ReentryStage,VolImpliedAlloc,WeeksBelow200MA,TurboActive,TurboWeeksLeft,Vol5dAgo,VolAccelGuard
2026-01-07,55.16999816894531,0.4165850719480898,0.2,0.5,0.5,,,,,,,,,,,,,,,
2026-01-08,54.18999862670898,0.4208300328254032,0.2,0.5,0.5,,,,,,,,,,,,,,,
2026-01-09,55.7599983215332,0.4323261736104628,0.2,0.45,0.55,,,,,,,,,,,,,,,
2026-01-16,54.13999938964844,0.3232532737725936,0.2,0.6000000000000001,0.3999999999999999,,,,,,,,,,,,,,,
2026-01-23,54.380001068115234,0.3766923349130217,0.2,0.55,0.4499999999999999,,,,,,,,,,,,,,,
2026-01-30,54.0,0.4037275549663938,0.2,0.5,0.5,,,,,,,,,,,,,,,
2026-02-06,50.59000015258789,0.5346401869227397,0.2,0.35,0.6499999999999999,,,,,,,,,,,,,,,
2026-02-09,51.7400016784668,0.5301479010129916,0.2,0.4,0.6,,,,,,,,,,,,,,,
2026-04-02,,0.6775138983151379,0.35,0.0,1.0,43.33000183105469,584.97998046875,603.22,609.63,594.95,45.67,False,False,,0.0,2.0,False,0.0,,
2026-04-08,,0.7354163994675706,0.35,0.5,0.5,48.41999816894531,607.7100219726562,601.53,608.93,595.95,56.06,True,True,,0.5,2.0,False,0.0,,
2026-04-10,,0.6987079752368249,0.35,0.5,0.5,49.16999816894531,611.0700073242188,600.64,608.83,596.7,65.09,True,True,,0.5,0.0,False,0.0,,
2026-04-17,,0.7020144362884883,0.35,0.5,0.5,58.59000015258789,648.8499755859375,602.1,610.62,598.89,95.47,True,True,,0.5,0.0,False,0.0,0.6987079752368249,False
2026-04-24,,0.5928691271672463,0.35,0.6,0.4,62.560001373291016,663.8800048828125,606.42,612.85,601.36,91.06,True,True,,0.6,0.0,False,0.0,0.7020144362884883,False
2026-05-01,,0.4432436452517111,0.35,0.8,0.1999999999999999,65.30000305175781,674.1500244140625,612.66,615.0,604.08,82.79,True,True,,0.8,0.0,False,0.0,0.5928691271672463,False
2026-05-08,,0.4523297212293153,0.35,0.75,0.25,76.27999877929688,711.22998046875,620.91,618.4,607.31,84.17,True,True,,0.75,0.0,False,0.0,0.4432436452517111,False
2026-05-15,,0.5055303582834096,0.35,0.7,0.3,75.33999633789062,708.9299926757812,631.46,623.55,610.95,73.26,True,True,,0.7,0.0,False,0.0,0.4523297212293153,False
2026-05-22,,0.4784749466421765,0.35,0.75,0.25,77.83999633789062,717.5399780273438,642.1,627.98,614.66,73.52,False,True,,0.75,0.0,False,0.0,0.5055303582834096,False
2026-05-29,,0.4737597642109271,0.35,0.75,0.25,84.55999755859375,738.3099975585938,652.93,632.66,617.85,67.5,True,True,,0.75,0.0,False,0.0,0.4784749466421765,False
2026-06-05,,0.725547591933724,0.35,0.5,0.5,73.05000305175781,705.0599975585938,667.81,638.23,621.82,47.96,False,True,,0.5,0.0,False,0.0,0.4737597642109271,True
2026-06-12,,0.8059286468071377,0.35,0.45,0.55,77.5199966430664,721.3400268554688,681.81,642.83,625.38,51.43,False,True,,0.45,0.0,False,0.0,0.725547591933724,False
